Description,SUP,AD,SD,City,Total,Total H,(Alyssa) Latino_AN,(Alyssa) Latino_AN H,(Alyssa) Vietnamese_AN,(Alyssa) Vietnamese_AN H,(Alyssa) Chinese_AN,(Alyssa) Chinese_AN H
Total,,,,,,,,,,,,
Total,-,-,-,-,529649,248861,65323,39194,48245,21610,8872,5570
3053353,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 7,1541,739,52,39,15,8,33,18
3053363,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,217,91,9,6,2,2,4,3
3053366,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 4,1587,1003,108,96,18,16,23,22
3053373,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,196,160,11,10,2,1,6,4
3053375,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,454,170,19,13,5,4,5,3
3053376,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 3,400,227,42,25,3,2,6,5
3053380,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 4,3166,1664,249,183,36,23,78,47
3053381,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,534,260,43,30,3,3,10,8
3053384,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 7,1177,498,41,28,12,6,42,22
3053389,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 4,2105,928,69,50,13,8,28,19
3053393,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 2,1301,959,187,164,13,11,4,4
3053404,2,74,37,CITY OF NEWPORT BEACH COUNCIL DISTRICT 5,2,1,0,0,0,0,0,0
3057002,1,72,34,UNINC - DIAMOND,408,235,236,148,37,19,2,1
3058107,5,73,36,CITY OF LAGUNA NIGUEL,2773,1165,170,99,5,4,44,33
3058108,5,73,36,CITY OF LAGUNA NIGUEL,2719,1141,204,126,21,15,23,15
3058109,5,73,36,CITY OF LAGUNA NIGUEL,1088,506,134,79,6,5,14,10
3058111,5,73,36,CITY OF LAGUNA NIGUEL,1238,606,53,40,15,9,43,25
3058114,5,73,36,CITY OF LAGUNA NIGUEL,3290,1584,435,303,20,13,44,30
3058118,5,73,36,CITY OF LAGUNA NIGUEL,1362,567,79,48,15,7,49,28
3058121,5,73,36,CITY OF LAGUNA NIGUEL,1772,900,97,72,11,9,20,14
3058127,5,73,36,CITY OF LAGUNA NIGUEL,1936,837,277,166,32,14,48,30
3058299,5,73,36,CITY OF LAGUNA NIGUEL,1270,500,80,46,12,4,30,19
3058314,5,73,36,CITY OF LAGUNA NIGUEL,1521,571,88,47,13,5,73,39
3058317,5,73,36,CITY OF LAGUNA NIGUEL,1224,557,76,49,18,11,26,18
3058319,5,73,36,CITY OF LAGUNA NIGUEL,2179,1044,223,143,11,8,38,26
3058324,5,73,36,CITY OF LAGUNA NIGUEL,1814,776,111,64,15,8,28,20
3058325,5,73,36,CITY OF LAGUNA NIGUEL,1368,712,288,206,17,10,11,8
3058327,5,73,36,CITY OF LAGUNA NIGUEL,796,442,133,88,4,4,9,5
3058330,5,73,36,CITY OF LAGUNA NIGUEL,1598,837,112,83,12,9,25,19
3058332,5,73,36,CITY OF LAGUNA NIGUEL,2030,903,253,153,14,10,20,13
3058350,5,73,36,CITY OF LAGUNA NIGUEL,2362,1077,136,84,8,6,34,21
3058354,5,73,36,CITY OF LAGUNA NIGUEL,2432,1069,117,81,9,6,29,21
3058355,5,73,36,CITY OF LAGUNA NIGUEL,2209,942,140,82,8,7,98,51
3058356,5,73,36,CITY OF LAGUNA NIGUEL,27,24,0,0,0,0,2,2
3058357,5,73,36,CITY OF LAGUNA NIGUEL,1768,1047,299,204,15,11,25,18
3058371,5,73,36,CITY OF LAGUNA NIGUEL,2932,1274,298,184,88,46,147,86
3058372,5,73,36,CITY OF LAGUNA NIGUEL,1029,424,64,38,18,10,17,14
3058373,5,73,36,CITY OF LAGUNA NIGUEL,2726,1359,282,171,23,17,58,38
3058374,5,73,36,CITY OF LAGUNA NIGUEL,2344,972,176,100,19,12,37,21
3058376,5,73,36,CITY OF LAGUNA NIGUEL,2111,867,187,108,64,28,32,24
3058378,5,73,36,CITY OF LAGUNA NIGUEL,1316,568,122,71,14,6,28,19
3068050,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,1807,885,587,332,793,421,8,8
3068058,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,1721,739,605,281,785,385,13,10
3068059,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,1848,809,616,282,899,440,11,10
3068185,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,3583,1387,1454,634,1324,545,27,21
3068194,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,3577,1807,1896,998,968,520,21,16
3068195,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,1576,638,784,333,353,151,9,7
3068196,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,2679,1003,1185,499,889,361,17,12
3068197,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,1950,682,345,142,1093,410,9,7
3068350,1,72,34,CITY OF SANTA ANA COUNCIL DISTRICT 3,985,378,343,159,436,182,3,2
