Description,SUP,AD,SD,City,Total,Total H,(Alyssa) Latino_AN,(Alyssa) Latino_AN H,(Alyssa) Vietnamese_AN,(Alyssa) Vietnamese_AN H,(Alyssa) Chinese_AN,(Alyssa) Chinese_AN H
Total,,,,,,,,,,,,
Total,-,-,-,-,529649,248861,65323,39194,48245,21610,8872,5570
3032365,2,72,34,CITY OF HUNTINGTON BEACH,1298,698,141,99,37,21,25,17
3032366,2,72,34,CITY OF HUNTINGTON BEACH,1293,514,111,64,82,33,15,9
3032367,2,72,34,CITY OF HUNTINGTON BEACH,795,335,67,41,28,15,9,5
3032368,2,72,34,CITY OF HUNTINGTON BEACH,1151,459,158,89,105,45,19,12
3032369,2,72,34,CITY OF HUNTINGTON BEACH,1421,749,187,115,78,53,42,29
3032370,2,72,34,CITY OF HUNTINGTON BEACH,3519,1817,1413,831,315,149,15,12
3032371,2,72,37,CITY OF HUNTINGTON BEACH,1703,909,282,182,85,50,21,14
3032376,2,74,37,CITY OF HUNTINGTON BEACH,3180,1756,245,191,64,52,29,22
3032379,2,74,37,CITY OF HUNTINGTON BEACH,2558,1360,241,178,74,40,20,13
3032388,2,74,37,CITY OF HUNTINGTON BEACH,687,261,58,29,30,14,4,3
3032393,2,74,37,CITY OF HUNTINGTON BEACH,2757,1217,251,153,99,57,24,14
3032395,2,74,37,CITY OF HUNTINGTON BEACH,1767,974,360,234,53,31,8,7
3032397,2,72,34,CITY OF HUNTINGTON BEACH,2164,1188,509,330,240,134,27,19
3032400,2,72,34,CITY OF HUNTINGTON BEACH,1430,585,91,50,92,39,42,22
3032401,2,74,37,CITY OF HUNTINGTON BEACH,995,366,64,35,119,52,73,32
3032402,2,72,34,CITY OF HUNTINGTON BEACH,882,572,152,115,11,11,3,3
3032403,2,72,34,CITY OF HUNTINGTON BEACH,178,113,16,14,1,1,0,0
3032404,2,72,34,CITY OF HUNTINGTON BEACH,1094,561,85,62,13,11,9,9
3032408,2,72,34,CITY OF HUNTINGTON BEACH,1463,839,375,245,62,38,7,7
3032412,2,74,37,CITY OF HUNTINGTON BEACH,2951,1193,170,106,195,85,48,27
3034091,1,72,34,UNINC - MIDWAY CITY,394,235,140,96,134,75,3,2
3034093,1,72,34,UNINC - MIDWAY CITY,461,224,132,74,202,108,4,4
3034095,1,72,34,UNINC - MIDWAY CITY,381,132,91,33,142,53,2,1
3034097,1,72,34,UNINC - MIDWAY CITY,1052,443,230,92,538,261,8,8
3034098,1,72,34,UNINC - MIDWAY CITY,465,191,99,52,84,34,0,0
3036003,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 2,1998,1283,94,74,36,22,33,23
3036007,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 5,4789,3315,266,215,73,52,57,45
3036008,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 2,1173,820,73,62,15,13,17,14
3036105,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 2,726,287,69,36,4,4,12,7
3036264,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 1,1703,1017,148,122,8,6,12,12
3036265,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 1,1024,587,88,69,2,2,5,3
3036266,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 1,1021,526,88,62,14,7,4,3
3036268,2,72,34,CITY OF SEAL BEACH COUNCIL DISTRICT 4,2158,908,189,102,35,20,77,44
